     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  47.759  32.595    11.7     0.0      99      99    99.0     360   0.130     1.0     0.9  2014 08 26 02 00 54.92
  47.643  32.686    10.9     0.0      99      99    99.0     360   0.116     0.4     0.5  2014 08 26 06 19 51.96
  47.695  32.680     9.0     0.0      99      99    99.0     360   0.112     0.5     0.5  2014 08 26 07 30 43.09
  47.518  32.768     9.6     0.0      99      99    99.0     360   0.080     0.3     0.2  2014 08 26 08 04 27.01
  47.607  32.769     8.2     0.0      99      99    99.0     360   0.147     0.3     0.6  2014 08 26 11 49 52.02
  47.815  32.678    11.8     0.0      99      99    99.0     360   0.171     0.8     0.5  2014 08 26 12 26 22.03
  47.801  32.791    10.4     0.0      99      99    99.0     360   0.096     0.4     0.8  2014 08 26 14 24 43.03
  47.641  32.754     9.0     0.0      99      99    99.0     360   0.099     0.3     0.2  2014 08 26 14 29 56.03
  47.808  32.789    10.7     0.0      99      99    99.0     360   0.061     0.5     0.5  2014 08 26 16 38 58.03
  47.605  32.805    10.1     0.0      99      99    99.0     360   0.152     0.5     0.5  2014 08 26 17 51 08.06
  47.797  32.789    10.3     0.0      99      99    99.0     360   0.110     0.5     0.8  2014 08 26 18 23 03.96
  47.808  32.788     9.4     0.0      99      99    99.0     360   0.138     0.4     0.6  2014 08 26 19 43 29.87
  47.683  32.711     8.9     0.0      99      99    99.0     360   0.153     0.5     0.4  2014 08 26 19 56 02.96
  47.751  32.675    10.7     0.0      99      99    99.0     360   0.091     0.5     0.4  2014 08 26 21 14 03.00
  47.532  32.816     8.9     0.0      99      99    99.0     360   0.148     0.4     0.4  2014 08 26 21 59 01.15
  47.565  32.750    12.0     0.0      99      99    99.0     360   0.131     0.4     0.4  2014 08 26 23 23 36.00
  47.612  32.675    10.8     0.0      99      99    99.0     360   0.096     0.4     0.5  2014 08 27 00 35 02.00
  47.541  32.773     8.2     0.0      99      99    99.0     360   0.104     0.3     0.4  2014 08 27 02 45 14.96
  47.586  32.687    10.6     0.0      99      99    99.0     360   0.168     0.6     0.4  2014 08 27 07 19 26.78
  47.489  32.762    11.9     0.0      99      99    99.0     360   0.141     0.4     0.5  2014 08 27 09 47 32.10
  47.483  32.762    11.3     0.0      99      99    99.0     360   0.211     0.4     0.4  2014 08 27 12 51 08.97
  47.761  32.568    13.0     0.0      99      99    99.0     360   0.142     1.1     0.9  2014 08 27 14 44 29.80
  47.464  32.761    10.2     0.0      99      99    99.0     360   0.151     0.4     0.5  2014 08 27 14 55 36.02
  47.712  32.701    14.5     0.0      99      99    99.0     360   0.181     0.7     0.6  2014 08 27 19 26 34.79
  47.744  32.639    12.3     0.0      99      99    99.0     360   0.110     0.7     0.6  2014 08 27 19 39 56.35
  47.660  32.738     9.6     0.0      99      99    99.0     360   0.121     0.4     0.5  2014 08 27 19 59 12.88
  47.734  32.706     3.4     0.0      99      99    99.0     360   0.151     1.1     1.5  2014 08 27 20 07 19.28
  47.693  32.706    16.9     0.0      99      99    99.0     360   0.210     1.1     1.4  2014 08 27 20 26 59.96
  47.525  32.754     2.5     0.0      99      99    99.0     360   0.126     0.8     3.9  2014 08 27 21 26 47.02
  47.805  32.794     9.9     0.0      99      99    99.0     360   0.100     0.3     0.6  2014 08 27 21 56 58.92
  47.505  32.757     9.1     0.0      99      99    99.0     360   0.133     0.5     0.6  2014 08 27 22 49 09.88
  47.582  32.758    12.5     0.0      99      99    99.0     360   0.142     0.5     0.7  2014 08 28 00 51 54.10
  47.609  32.711    11.3     0.0      99      99    99.0     360   0.187     0.4     0.3  2014 08 28 03 29 19.01
  47.823  32.722     9.3     0.0      99      99    99.0     360   0.153     0.7     0.5  2014 08 28 04 02 28.26
  47.532  32.757     9.1     0.0      99      99    99.0     360   0.095     0.3     0.4  2014 08 28 05 18 47.00
  47.497  32.774     9.2     0.0      99      99    99.0     360   0.117     0.4     0.6  2014 08 28 05 44 36.96
  47.533  32.738     9.4     0.0      99      99    99.0     360   0.118     0.4     0.4  2014 08 28 06 15 52.00
  47.752  32.597     8.9     0.0      99      99    99.0     360   0.049     1.3     1.3  2014 08 28 06 37 01.70
  47.602  32.776    10.9     0.0      99      99    99.0     360   0.121     0.5     0.6  2014 08 28 07 41 11.27
  47.801  32.799    10.2     0.0      99      99    99.0     360   0.149     0.5     0.8  2014 08 28 09 21 25.89
  47.510  32.771     9.2     0.0      99      99    99.0     360   0.101     0.3     0.3  2014 08 28 13 47 42.00
  47.466  32.752    11.5     0.0      99      99    99.0     360   0.075     0.4     0.3  2014 08 28 16 45 35.96
  47.603  32.769     9.1     0.0      99      99    99.0     360   0.111     0.3     0.2  2014 08 28 17 18 51.03
  47.529  32.755     8.3     0.0      99      99    99.0     360   0.082     0.4     0.4  2014 08 28 18 25 40.93
  47.690  32.724     9.9     0.0      99      99    99.0     360   0.110     0.5     0.4  2014 08 28 18 56 31.96
  47.703  32.674    11.0     0.0      99      99    99.0     360   0.109     0.5     0.4  2014 08 28 19 06 53.96
  47.673  32.689    10.2     0.0      99      99    99.0     360   0.112     0.5     0.5  2014 08 28 19 55 33.96
  47.730  32.640    11.4     0.0      99      99    99.0     360   0.113     0.5     0.4  2014 08 28 22 02 10.00
  47.493  32.774     9.0     0.0      99      99    99.0     360   0.139     0.4     0.6  2014 08 28 23 13 39.92
  47.521  32.748    10.8     0.0      99      99    99.0     360   0.087     0.3     0.4  2014 08 29 00 29 46.95
  47.806  32.685     9.3     0.0      99      99    99.0     360   0.138     0.5     0.5  2014 08 29 00 37 37.93
  47.758  32.587    10.8     0.0      99      99    99.0     360   0.109     0.9     0.8  2014 08 29 01 32 47.28
  47.715  32.645    11.5     0.0      99      99    99.0     360   0.116     0.5     0.4  2014 08 29 01 41 13.01
  47.489  32.756    12.1     0.0      99      99    99.0     360   0.161     0.4     0.3  2014 08 29 02 37 42.93
  47.566  32.754     8.7     0.0      99      99    99.0     360   0.067     0.3     0.3  2014 08 29 03 49 08.00
  47.805  32.795    10.5     0.0      99      99    99.0     360   0.111     0.5     0.9  2014 08 29 04 21 43.14
  47.588  32.719     9.5     0.0      99      99    99.0     360   0.097     0.3     0.3  2014 08 29 06 06 18.98
  47.822  32.685    11.9     0.0      99      99    99.0     360   0.113     0.7     0.3  2014 08 29 06 35 54.96
  47.594  32.778     7.9     0.0      99      99    99.0     360   0.083     0.3     0.3  2014 08 29 11 40 27.05
  47.771  32.621     8.3     0.0      99      99    99.0     360   0.152     0.7     0.6  2014 08 29 15 04 49.60
  47.778  32.648     9.7     0.0      99      99    99.0     360   0.152     0.8     0.8  2014 08 29 15 19 54.86
  47.677  32.820     8.0     0.0      99      99    99.0     360   0.090     0.4     0.4  2014 08 29 16 06 29.05
  47.510  32.806     8.3     0.0      99      99    99.0     360   0.145     0.3     0.4  2014 08 29 16 16 55.97
  47.579  32.682    11.7     0.0      99      99    99.0     360   0.131     0.4     0.5  2014 08 29 16 22 31.12
  47.580  32.774     7.4     0.0      99      99    99.0     360   0.115     0.3     0.4  2014 08 29 16 55 18.03
  47.537  32.800    11.7     0.0      99      99    99.0     360   0.161     0.4     0.4  2014 08 29 17 28 22.92
  47.715  32.717    10.0     0.0      99      99    99.0     360   0.080     0.6     0.4  2014 08 29 17 58 21.12
  47.721  32.681    10.5     0.0      99      99    99.0     360   0.097     0.4     0.3  2014 08 29 18 15 30.00
  47.668  32.691     9.3     0.0      99      99    99.0     360   0.160     0.5     0.5  2014 08 29 18 43 47.96
